Title,Authors,Source Title,Publication Date,Publication Year,DOI,Total Citations,Search
Equilibrium Born-Oppenheimer molecular-dynamics exploration of the lattice thermal conductivity of silicon clathrates,"English, Niall J.; Tse, John S.",COMPUTATIONAL MATERIALS SCIENCE,JAN 2017,2017.0,10.1016/j.commatsci.2016.09.008,6,OTE
Recent progress of thermoelectric devices or modules in Japan,"Shinohara, Yoshikazu",MATERIALS TODAY-PROCEEDINGS,2017,2017.0,,6,OTE
Fe3O4@SiO2 core shell particles as platforms for the decoration of Ag nanoparticles,"Tzounis, L.; Logothetidis, S.",MATERIALS TODAY-PROCEEDINGS,2017,2017.0,,6,OTE
Simultaneous enhancement of conductivity and Seebeck coefficient in an organic Mott transistor,"Kawasugi, Yoshitaka; Seki, Kazuhiro; Edagawa, Yusuke; Sato, Yoshiaki; Pu, Jiang; Takenobu, Taishi; Yunoki, Seiji; Yamamoto, Hiroshi M.; Kato, Reizo",APPLIED PHYSICS LETTERS,DEC 5 2016,2016.0,10.1063/1.4971310,6,OTE
Low-Temperature Seebeck Coefficients for Polaron-Driven Thermoelectric Effect in Organic Polymers,"de Oliveira Neto, Pedro Henrique; da Silva Filho, Demetrio A.; Roncaratti, Luiz F.; Acioli, Paulo H.; Magela e Silva, Geraldo",JOURNAL OF PHYSICAL CHEMISTRY A,JUL 14 2016,2016.0,10.1021/acs.jpca.5b12524,6,OTE
"DC Hall-effect measurement for inkjet-deposited films of poly(3,4-ethylenedioxythiophene)/poly(4-styrenesulfonate) by using microscale gap electrodes","Ozaki, Shinri; Wada, Yasuo; Noda, Kei",SYNTHETIC METALS,MAY 2016,2016.0,10.1016/j.synthmet.2016.02.001,6,OTE
"Precursor routes to quaternary intermetallics: Synthesis, crystal structure, and physical properties of clathrate-II Cs8Na16Al24Si112","Wei, Kaya; Dong, Yongkwan; Nolas, George S.",JOURNAL OF SOLID STATE CHEMISTRY,MAY 2016,2016.0,10.1016/j.jssc.2016.01.020,6,OTE
Engel-Vosko generalized gradient approximation within DFT investigations of optoelectronic and thermoelectric properties of copper thioantimonates(III) and thioarsenate(III) for solar-energy conversion,"Khan, Wilayat; Goumri-Said, Souraya",PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,MAR 2016,2016.0,10.1002/pssb.201552435,6,OTE
Development of ethenetetrathiolate hybrid thermoelectric materials consisting of cellulose acetate and semiconductor nanomaterials,"Asano, Hitoshi; Sakura, Naoko; Oshima, Keisuke; Shiraishi, Yukihide; Toshima, Naoki",JAPANESE JOURNAL OF APPLIED PHYSICS,FEB 2016,2016.0,10.7567/JJAP.55.02BB02,6,OTE
Chemistry and Technology of Samarium Monosulfide,"Andreev, O. V.; Ivanov, V. V.; Gorshkov, A. V.; Miodushevskiy, P. V.; Andreev, P. O.",EURASIAN CHEMICO-TECHNOLOGICAL JOURNAL,2016,2016.0,10.18321/ectj396,6,OTE
Decoupling electrical and thermal properties in antimony telluride based artificial multilayer for high thermoelectric performance,"Zheng, Wenwen; Yang, Dongwang; Wei, Wei; Liu, Fengming; Tang, Xinfeng; Shi, Jing; Wang, Ziyu; Xiong, Rui",APPLIED PHYSICS LETTERS,NOV 16 2015,2015.0,10.1063/1.4936123,6,OTE
Optically tunable Seebeck effect from intramolecular proton-transfer materials in organic vertical thin-film thermoelectric device,"Hu, Dehua; Liu, Qing; Tisdale, Jeremy; Nam, Haerim; Park, Soo Young; Wang, Hsin; Urbas, Augustine; Hu, Bin",ORGANIC ELECTRONICS,NOV 2015,2015.0,10.1016/j.orgel.2015.07.029,6,OTE
Thermoelectricity in tunneling nanostructures,"Ermakov, Vladimir N.; Kruchinin, Sergei P.; Pruschke, Thomas; Freericks, J. K.",PHYSICAL REVIEW B,OCT 26 2015,2015.0,10.1103/PhysRevB.92.155431,6,OTE
"Indolo[3,2-b]carbazole-based poly(arylene ethynylene)s: Modulation of their optoelectronic properties by changing the position of substituents","Grigoras, Mircea; Negru, Oana Iuliana; Solonaru, Ana Maria",HIGH PERFORMANCE POLYMERS,AUG 2015,2015.0,10.1177/0954008315584169,6,OTE
Improved Thermoelectric Properties of PEDOT:PSS Nanofilms Treated with Oxalic Acid,"Liu, Congcong; Shi, Hui; Xu, Jingkun; Jiang, Qinglin; Song, Haijun; Zhu, Zhengyou",JOURNAL OF ELECTRONIC MATERIALS,JUN 2015,2015.0,10.1007/s11664-014-3557-8,6,OTE
Field dependent thermoelectric properties of organic semiconductors-A tool to determine the nature of charge transport in materials exhibiting thermally activated transport,"Mendels, Dan; Tessler, Nir",JOURNAL OF APPLIED PHYSICS,MAR 14 2015,2015.0,10.1063/1.4914526,6,OTE
Design of Lead Telluride Based Thermoelectric Materials through Incorporation of Lead Sulfide Inclusions or Ligand Stripping of Nanosized Building Blocks,"James, Derak; Lu, Xu; Nguyen, Alexander Chi; Morelli, Donald; Brock, Stephanie L.",JOURNAL OF PHYSICAL CHEMISTRY C,MAR 5 2015,2015.0,10.1021/jp5127046,6,OTE
Gold nanocrystal arrays as a macroscopic platform for molecular junction thermoelectrics,"Chang, W. B.; Russ, B.; Ho, V.; Urban, J. J.; Segalman, R. A.",PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2015,2015.0,10.1039/c4cp04465g,6,OTE
Theoretical studies on the carrier tunability of oxidized oligothiophenes,"Pramanik, Anup; Sarkar, Pranab",PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2015,2015.0,10.1039/c5cp03425f,6,OTE
"The influence of the Tula, Hidalgo complex on the air quality of the Mexico City Metropolitan Area","Sandra Garcia-Escalante, Jennifer; Agustin Garcia-Reynoso, Jose; Jazcilevich-Diamant, Aron; Gerardo Ruiz-Suarez, Luis",ATMOSFERA,APR 2014,2014.0,10.1016/S0187-6236(14)71111-7,6,OTE
Exploring coherent transport through pi-stacked systems for molecular electronic devices,"Li, Qian; Solomon, Gemma C.",FARADAY DISCUSSIONS,2014,2014.0,10.1039/c4fd00083h,6,OTE
Hybrid porous nanotube crystal networks for nanostructured device applications,"Pokropivny, Alex V.; Volz, Sebastian",JOURNAL OF MATERIALS SCIENCE,APR 2013,2013.0,10.1007/s10853-012-7077-8,6,OTE
Effect of Interchain Interaction on Electrical Conductivity in Quasi-One-Dimensional Organic Crystals of Tetrathiotetracene-Iodide,"Casian, Anatolie; Sanduleac, Ion",JOURNAL OF NANOELECTRONICS AND OPTOELECTRONICS,DEC 2012,2012.0,10.1166/jno.2012.1408,6,OTE
Layered Hybrid Selenoantimonates with Reduced Thermal Conductivity,"Chen, Yu-Chu; Yao, Hongbin; Thiagarajan, Suraj; Wu, Min; Emge, Thomas J.; Yang, Ronggui; Yu, Shuhong; Li, Jing",ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,DEC 2012,2012.0,10.1002/zaac.201200286,6,OTE
Comparison of the Structural and Thermoelectric Properties of Ball-milled and Co-reduced Bi1-xSbx Nanoalloys,"Landschreiber, B.; Guenes, E.; Rohner, C.; Homm, G.; Will, C.; Sesselmann, A.; Klar, P. J.; Mueller, E.; Schlecht, S.",9TH EUROPEAN CONFERENCE ON THERMOELECTRICS (ECT2011),2012,2012.0,10.1063/1.4731557,6,OTE
Investigation of pyroelectric phenomenon in TGS single crystals - A new method using a digital pyroelectric charge meter,"Trybus, M.; Proszak, W.; Wos, B.",INFRARED PHYSICS & TECHNOLOGY,JUL 2011,2011.0,10.1016/j.infrared.2011.02.001,6,OTE
Transport and noise in organic field-effect devices,"Morawetz, K.; Gemming, S.; Luschtinetz, R.; Kunze, T.; Lipavsky, P.; Eng, L. M.; Seifert, G.; Pankoke, V.; Milde, P.",PHYSICAL REVIEW B,FEB 2009,2009.0,10.1103/PhysRevB.79.085405,6,OTE
Electronic and Optical Properties of Some Polysulfone-Polydimethylsiloxane Copolymers in Thin Films,"Rusu, G. I.; Airinei, A.; Hamciuc, Viorica; Rusu, G. G.; Rambu, Petronela; Diciu, Mihaela; Garoi, Petronela; Rusu, Mihaela",JOURNAL OF MACROMOLECULAR SCIENCE PART B-PHYSICS,2009,2009.0,10.1080/00222340802566218,6,OTE
Thermoelectric mechanism of electromagnetic-acoustic transformation in organic conductors,"Krstovska, D.; Galbova, O.; Sandev, T.",EPL,2008,2008.0,10.1209/0295-5075/81/37006,6,OTE
Charge carriers in the divalent conductor (BEDT-TTF)Cu2Br4,"Ito, H; Yokochi, Y; Tanaka, H; Kuroda, S; Kanehama, R; Umemiya, M; Miyasaka, H; Sugiura, KI; Yamashita, M; Tajima, H; Yamaura, J",PHYSICAL REVIEW B,FEB 2005,2005.0,10.1103/PhysRevB.71.085202,6,OTE
"Magnetization, thermoelectric, and pressure studies of the magnetic-field-induced metal-insulator transition in tau-phase organic conductors","Graf, D; Choi, ES; Brooks, JS; Harrison, N; Murata, K; Konoike, T; Mousdis, GA; Papavassiliou, GC",PHYSICAL REVIEW B,JAN 2005,2005.0,10.1103/PhysRevB.71.045117,6,OTE
The new technology for improving heat effect of pyroelectric infrared detector,"Song, ZT; Feng, SL; Lin, CL; Wang, Y; Chan, LWHW; Choy, CL",CERAMICS INTERNATIONAL,2004,2004.0,10.1016/j.ceramint.2003.12.066,6,OTE
Design of grain oriented microstructure by the Monte Carlo simulation of sintering and isotropic grain growth,"Itahara, H; Nomura, H; Tani, T; Matsubara, H",JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,AUG 2003,2003.0,10.2109/jcersj.111.548,6,OTE
Thermoelectric properties of Al-doped ZnO sintered with nanosized void forming agents,"Ohtaki, M; Maehara, S; Shige, S","TWENTY-SECOND INTERNATIONAL CONFERENCE ON THERMOELECTRICS, PROCEEDINGS ICT '03",2003,2003.0,10.1109/ICT.2003.1287476,6,OTE
Construction and validation of a cryogen free gas chromatography-electron-capture detection system for the measurement of ambient halocarbons,"Wang, JL; Wu, CH",ANALYTICA CHIMICA ACTA,JUN 12 2002,2002.0,10.1016/S0003-2670(02)00242-8,6,OTE
Electrical conduction of halogen-bridged metal complexes Ni1-xPdx(chxn)(2)Br-3,"Ito, H; Sunata, M; Kuroda, SI; Manabe, T; Yamashita, M",MOLECULAR CRYSTALS AND LIQUID CRYSTALS,2002,2002.0,10.1080/713738626,6,OTE
Organoselenium chemistry-based polymer synthesis,"Li, Qilong; Zhang, Yuanyuan; Chen, Zijun; Pan, Xiangqiang; Zhang, Zhengbiao; Zhu, Jian; Zhu, Xiulin",ORGANIC CHEMISTRY FRONTIERS,SEP 21 2020,2020.0,10.1039/d0qo00640h,5,OTE
Development and performance investigation of a biomass gasification based integrated system with thermoelectric generators,"Ishaq, H.; Islam, S.; Dincer, I; Yilbas, B. S.",JOURNAL OF CLEANER PRODUCTION,MAY 20 2020,2020.0,10.1016/j.jclepro.2020.120625,5,OTE
Robust PEDOT:PSS Wet-Spun Fibers for Thermoelectric Textiles,"Kim, Youngseok; Lund, Anja; Noh, Hyebin; Hofmann, Anna I.; Craighero, Mariavittoria; Darabi, Sozan; Zokaei, Sepideh; Park, Jae Il; Yoon, Myung-Han; Mueller, Christian",MACROMOLECULAR MATERIALS AND ENGINEERING,MAR 2020,2020.0,10.1002/mame.201900749,5,OTE
"Potential of thermoelectric waste heat recovery in a combined geothermal, fuel cell and organic Rankine flash cycle (thermodynamic and economic evaluation)","Khanmohammadi, Shoaib; Saadat-Targhi, Morteza; Ahmed, Faraedoon Waly; Afrand, Masoud",INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,FEB 28 2020,2020.0,10.1016/j.ijhydene.2019.12.113,5,OTE
All-Polymer Conducting Fibers and 3D Prints via Melt Processing and Templated Polymerization,"Hofmann, Anna I.; Ostergren, Ida; Kim, Youngseok; Fauth, Sven; Craighero, Mariavittoria; Yoon, Myung-Han; Lund, Anja; Muller, Christian",ACS APPLIED MATERIALS & INTERFACES,FEB 19 2020,2020.0,10.1021/acsami.9b20615,5,OTE
Free-standing flexible multiwalled carbon nanotubes paper for wearable thermoelectric power generator,"Bharti, Meetu; Singh, Ajay; Singh, Bhanu Pratap; Dhakate, Sanjay R.; Saini, Gajender; Bhattacharya, Shovit; Debnath, A. K.; Muthe, K. P.; Aswal, D. K.",JOURNAL OF POWER SOURCES,FEB 15 2020,2020.0,10.1016/j.jpowsour.2019.227493,5,OTE
Closing the Stability-Performance Gap in Organic Thermoelectrics by Adjusting the Partial to Integer Charge Transfer Ratio,"Zapata-Arteaga, Osnat; Dorling, Bernhard; Perevedentsev, Aleksandr; Martin, Jaime; Sebastian Reparaz, J.; Campoy-Quiles, Mariano",MACROMOLECULES,JAN 28 2020,2020.0,10.1021/acs.macromol.9b02263,5,OTE
A novel renewable energy-based integrated system with thermoelectric generators for a net-zero energy house,"Islam, Shahid; Dincer, Ibrahim; Yilbas, Bekir S.",INTERNATIONAL JOURNAL OF ENERGY RESEARCH,APR 2020,2020.0,10.1002/er.4986,5,OTE
Molecular-level analysis of the wetting behavior of imidazolium-based ionic liquids on bismuth telluride surfaces,"Atkinson, Henry; Bara, Jason E.; Turner, C. Heath",CHEMICAL ENGINEERING SCIENCE,JAN 16 2020,2020.0,10.1016/j.ces.2019.115270,5,OTE
Closely Packed Polypyrroles via Ionic Cross-Linking: Correlation of Molecular Structure-Morphology-Thermoelectric Properties,"Park, Juhyung; Lee, Yeran; Kim, Miso; Kim, Yungeun; Tripathi, Ayushi; Kwon, Young-Wan; Kwak, Jeonghun; Woo, Han Young",ACS APPLIED MATERIALS & INTERFACES,JAN 8 2020,2020.0,10.1021/acsami.9b17009,5,OTE
Thermopower in an anisotropic two-dimensional Weyl semimetal,"Mandal, Ipsita; Saha, Kush",PHYSICAL REVIEW B,JAN 3 2020,2020.0,10.1103/PhysRevB.101.045101,5,OTE
Improved Alignment of PEDOT:PSS Induced by in-situ Crystallization of Green Dimethylsulfone Molecules to Enhance the Polymer Thermoelectric Performance,"Zhu, Qiang; Yildirim, Erol; Wang, Xizu; Soo, Xiang Yun Debbie; Zheng, Yun; Tan, Teck Leong; Wu, Gang; Yang, Shuo-Wang; Xu, Jianwei",FRONTIERS IN CHEMISTRY,NOV 15 2019,2019.0,10.3389/fchem.2019.00783,5,OTE
Recent Advances in n-Type Thermoelectric Nanocomposites,"Tang, Junhui; Chen, Yanling; McCuskey, Samantha R.; Chen, Lidong; Bazan, Guillermo C.; Liang, Ziqi",ADVANCED ELECTRONIC MATERIALS,NOV 2019,2019.0,10.1002/aelm.201800943,5,OTE
Thermoelectric Performance of n-Type Poly(Ni-tetrathiooxalate) as a Counterpart to Poly(Ni-ethenetetrathiolate): NiTTO versus NiETT,"Wolfe, Rylan M. W.; Menon, Akanksha K.; Marder, Seth R.; Reynolds, John R.; Yee, Shannon K.",ADVANCED ELECTRONIC MATERIALS,NOV 2019,2019.0,10.1002/aelm.201900066,5,OTE
Proquinoidal-Conjugated Polymer as an Effective Strategy for the Enhancement of Electrical Conductivity and Thermoelectric Properties,"Tam, Teck Lip Dexter; Ng, Chee Koon; Lim, Siew Lay; Yildirim, Erol; Ko, Jieun; Leong, Wei Lin; Yang, Shuo-Wang; Xu, Jianwei",CHEMISTRY OF MATERIALS,OCT 22 2019,2019.0,10.1021/acs.chemmater.9b03684,5,OTE
Feasibility of an innovative amorphous silicon photovoltaic/thermal system for medium temperature applications,"Ren, Xiao; Li, Jing; Hu, Mingke; Pei, Gang; Jiao, Dongsheng; Zhao, Xudong; Ji, Jie",APPLIED ENERGY,OCT 15 2019,2019.0,10.1016/j.apenergy.2019.113427,5,OTE
Thermoelectric enhancement in multilayer thin-films of tin chalcogenide nanosheets/conductive polymers,"Ju, Hyun; Park, Dabin; Kim, Jooheon",NANOSCALE,SEP 14 2019,2019.0,10.1039/c9nr04712c,5,OTE
"High-Density Sb2Te3 Nanopillars Arrays by Templated, Bottom-Up MOCVD Growth","Cecchini, Raimondo; Gajjela, Raja S. R.; Martella, Christian; Wiemer, Claudia; Lamperti, Alessio; Nasi, Lucia; Lazzarini, Laura; Nobili, Luca G.; Longo, Massimo",SMALL,SEP 2019,2019.0,10.1002/smll.201901743,5,OTE
High-Performance N-Type Carbon Nanotube Composites: Improved Power Factor by Optimizing the Acridine Scaffold and Tailoring the Side Chains,"Liu, Yijia; Dai, Qiuzi; Zhou, Yan; Li, Benzhang; Mao, Xianhua; Gao, Chunmei; Gao, Yuan; Pan, Chengjun; Jiang, Qinglin; Wu, Yu; Xie, Yangsu; Wang, Lei",ACS APPLIED MATERIALS & INTERFACES,AUG 14 2019,2019.0,10.1021/acsami.9b10023,5,OTE
Will organic thermoelectrics get hot?,"Campoy-Quiles, Mariano",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,JUL 8 2019,2019.0,10.1098/rsta.2018.0352,5,OTE
Transition in layer structure of atomic/molecular layer deposited ZnO-zincone multilayers,"Niemela, Janne-Petteri; Aghaee, Morteza; Kessels, Wilhelmus M. M. (Erwin); Creatore, Mariadriana; Verheijen, Marcel A.",JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,JUL 2019,2019.0,10.1116/1.5105348,5,OTE
"Polar Side Chain Effects on the Thermoelectric Properties of Benzo[1,2-b:4,5-b ']Dithiophene-Based Conjugated Polymers","Pan, Chengjun; Wang, Luhai; Liu, Tongchao; Zhou, Xiaoyan; Wan, Tao; Wang, Shichao; Chen, Zhongming; Gao, Chunmei; Wang, Lei",MACROMOLECULAR RAPID COMMUNICATIONS,JUN 2019,2019.0,10.1002/marc.201900082,5,OTE
High Performance Polymer Thermoelectric Composite Achieved by Carbon-Coated Carbon Nanotubes Network,"Li, Delong; Luo, Chengzhi; Chen, Yuexing; Feng, Dan; Gong, Youning; Pan, Chunxu; He, Jiaqing",ACS APPLIED ENERGY MATERIALS,APR 2019,2019.0,10.1021/acsaem.9b00334,5,OTE
"Efficient enhancement of the thermoelectric performance of vapor phase polymerized poly(3,4-ethylenedioxythiophene) films with poly(ethyleneimine)","Jia, Yanhua; Liu, Cheng; Liu, Jing; Liu, Congcong; Xu, Jingkun; Li, Xuejing; Shen, Lanlan; Jiang, Qinglin; Wang, Xiaodong; Yang, Jin; Jiang, Fengxing",JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS,MAR 1 2019,2019.0,10.1002/polb.24778,5,OTE
Flexible thermoelectric modules based on ALD-grown ZnO on different substrates,"Marin, Giovanni; Tynell, Tommi; Karppinen, Maarit",JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,MAR 2019,2019.0,10.1116/1.5079614,5,OTE
Nanoarchitectured titanium complexes for thermal mitigation in thermoelectric materials,"Putri, Yulia Eka; Said, Suhana Mohd; Diantoro, Markus",RENEWABLE & SUSTAINABLE ENERGY REVIEWS,MAR 2019,2019.0,10.1016/j.rser.2018.10.006,5,OTE
Thermoelectric properties of oligoglycine molecular wires,"Hou, Songjun; Wu, Qingqing; Sadeghi, Hatef; Lambert, Colin J.",NANOSCALE,FEB 28 2019,2019.0,10.1039/c8nr08878k,5,OTE
Carbon Nanotube/Cellulose Acetate Thermoelectric Papers,"Mo, Jun-Hyun; Kim, Jae-Yeop; Kang, Young Hun; Cho, Song Yun; Jang, Kwang-Suk",ACS SUSTAINABLE CHEMISTRY & ENGINEERING,DEC 2018,2018.0,10.1021/acssuschemeng.8b03670,5,OTE
Nanostructured Metal Tellurides and Their Heterostructures for Thermoelectric Applications-A Review,"Karunanithy, M.; Prabhavathi, G.; Beevi, A. Hameedha; Ibraheem, B. H. Ahmed; Kaviyarasu, K.; Nivetha, S.; Punithavelan, N.; Ayeshamariam, A.; Jayachandran, M.",JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,OCT 2018,2018.0,10.1166/jnn.2018.15731,5,OTE
A facile energy-saving route of fabricating thermoelectric Sb2Te3-Te nanocomposites and nanosized Te,"Liu, En-Yu; Lin, Fei-Hung; Yang, Zong-Ren; Liu, Chia-Jyi",ROYAL SOCIETY OPEN SCIENCE,OCT 2018,2018.0,10.1098/rsos.180698,5,OTE
"Crystallinity-Dependent Thermoelectric Properties of a Two-Dimensional Coordination Polymer: Ni-3(2,3,6,7,10,11-hexaiminotriphenylene)(2)","Nonoguchi, Yoshiyuki; Sato, Dai; Kawai, Tsuyoshi",POLYMERS,SEP 2018,2018.0,10.3390/polym10090962,5,OTE
Enhanced thermoelectric properties of flexible aerosol-jet printed carbon nanotube-based nanocomposites,"Ou, Canlin; Sangle, Abhijeet L.; Chalklen, Thomas; Jing, Qingshen; Narayan, Vijay; Kar-Narayan, Sohini",APL MATERIALS,SEP 2018,2018.0,10.1063/1.5043547,5,OTE
Tailoring the functional properties of polyurethane foam with dispersions of carbon nanofiber for power generator applications,"Sathiyamoorthy, Suhasini; Girijakumari, Greeshma; Kannan, Prashanth; Venugopal, Kathirvel; Shanmugam, Saranya Thiruvottriyur; Veluswamy, Pandiyarasan; De Wael, Karolien; Ikeda, Hiroya",APPLIED SURFACE SCIENCE,AUG 15 2018,2018.0,10.1016/j.apsusc.2018.01.088,5,OTE
"Thermoelectric properties of metal-(Z)-1,2-dihydroselenoethene-1,2-dithiol coordination polymers","Cui, Yutao; Yan, Jie; Sun, Yue; Zou, Ye; Sun, Yimeng; Xu, Wei; Zhu, Daoben",SCIENCE BULLETIN,JUL 15 2018,2018.0,10.1016/j.scib.2018.06.001,5,OTE
"Elucidating the mechanisms behind thermoelectric power factor enhancement of poly(3,4-ethylenedioxythiophene):poly(styrenesulfonate) flexible films","Bharti, Meetu; Singh, Ajay; Samanta, Soumen; Debnath, A. K.; Marumoto, Kazuhiro; Aswal, D. K.; Muthe, K. P.; Gadkari, S. C.",VACUUM,JUL 2018,2018.0,10.1016/j.vacuum.2018.04.017,5,OTE
Pure spin current and phonon thermoelectric transport in a triangulene-based molecular junction,"Wang, Qiang; Li, Jianwei; Nie, Yihang; Xu, Fuming; Yu, Yunjin; Wang, Bin",PHYSICAL CHEMISTRY CHEMICAL PHYSICS,JUN 21 2018,2018.0,10.1039/c8cp02322k,5,OTE
Solution-fabrication dependent thermoelectric behavior of iodine-doped regioregular and regiorandom P3HT/carbon nanotube composites,"Tonga, Murat; Wei, Lang; Wilusz, Eugene; Korugic-Karasz, Ljiljana; Karasz, Frank E.; Lahti, Paul M.",SYNTHETIC METALS,MAY 2018,2018.0,10.1016/j.synthmet.2018.03.007,5,OTE
Thermoelectronic transport through spin-crossover single molecule Fe[(H(2)Bpz(2))(2)bipy],"Liu, N.; Zhu, L.; Yao, K. L.",JOURNAL OF PHYSICS D-APPLIED PHYSICS,APR 11 2018,2018.0,10.1088/1361-6463/aab29c,5,OTE
Thermal transport in organic/inorganic composites,"Liu, Bin; Dong, Lan; Xi, Qing; Xu, Xiangfan; Zhou, Jun; Li, Baowen",FRONTIERS IN ENERGY,MAR 2018,2018.0,10.1007/s11708-018-0526-6,5,OTE
"Preparation of poly(3,4-ethylenedioxythiophene):poly(4-styrenesulfonate)/silicon dioxide nanoparticles composite films with large thermoelectric power factor","Liu, Endou; Liu, Congcong; Zhu, Zhengyou; Xu, Jingkun; Jiang, Fengxing; Wang, Tongzhou; Li, Changcun",JOURNAL OF COMPOSITE MATERIALS,MAR 2018,2018.0,10.1177/0021998317712570,5,OTE
Largely reduced cross-plane thermal conductivity of nanoporous In0.1Ga0.9N thin films directly grown by metal organic chemical vapor deposition,"Xu, Dongchao; Wang, Quan; Wu, Xuewang; Zhu, Jie; Zhao, Hongbo; Xiao, Bo; Wang, Xiaojia; Wang, Xiaoliang; Hao, Qing",FRONTIERS IN ENERGY,MAR 2018,2018.0,10.1007/s11708-018-0519-5,5,OTE
Development of Thermoelectric generator based on Ionic Liquids for high temperature applications,"Laux, Edith; Uhl, Stefanie; Gauthier, Nicolas; Jeandupeux, Laure; Keppner, Herbert; Lopez, Pilar Perez; Pauline, Sanglard; Vanoli, Ennio; Marti, Roger",MATERIALS TODAY-PROCEEDINGS,2018,2018.0,10.1016/j.matpr.2017.12.265,5,OTE
Dependence of Seebeck Coefficient on the Density of States in Organic Semiconductors,"Shi, Xiaohong; Sun, Jiuxun",IEEE ELECTRON DEVICE LETTERS,DEC 2017,2017.0,10.1109/LED.2017.2765458,5,OTE
Preparation and electronic characteristics of anionic perylene bisimide films,"Zhang, Wenqiang; Jiang, Qinglin; Zhou, Jiadong; Hu, Dehua; Zhou, Xuehong; Ma, Weitao; Hanif, Muddasir; Xie, Zengqi; Liu, Linlin; Ma, Yuguang",SCIENCE CHINA-CHEMISTRY,OCT 2017,2017.0,10.1007/s11426-017-9098-6,5,OTE
Flexible and conductive multilayer films based on the assembly of PEDOT:PSS and water soluble polythiophenes,"Jurin, F. E.; Buron, C. C.; Clement, S.; Mehdi, A.; Viau, L.; Lakard, B.; Martin, N.; Filiatre, C.",ORGANIC ELECTRONICS,JUL 2017,2017.0,10.1016/j.orgel.2017.04.013,5,OTE
Tuning the Seebeck effect in C-60-based hybrid thermoelectric devices through temperature-dependent surface polarization and thermally-modulated interface dipoles,"Liu, Yuchun; Xu, Ling; Zhao, Chen; Shao, Ming; Hu, Bin",PHYSICAL CHEMISTRY CHEMICAL PHYSICS,JUN 14 2017,2017.0,10.1039/c7cp01736g,5,OTE
Spin thermoelectric effects in organic single-molecule devices,"Wang, H. L.; Wang, M. X.; Qian, C.; Hong, X. K.; Zhang, D. B.; Liu, Y. S.; Yang, X. F.",PHYSICS LETTERS A,MAY 25 2017,2017.0,10.1016/j.physleta.2017.03.024,5,OTE
"Thermoelectric Properties of Poly(selenophene-co-3, 4-ethylenedioxythiophene) via Electropolymerization","Gu, Hua; Ming, Shouli; Lin, Kaiwen; Liu, Hongtao; Chen, Shuai; Lu, Baoyang; Xu, Jingkun",JOURNAL OF ELECTRONIC MATERIALS,MAY 2017,2017.0,10.1007/s11664-016-5197-7,5,OTE
Room temperature synthesis of transition metal silicide-conducting polymer micro-composites for thermoelectric applications,"Ail, Ujwala; Khan, Zia Ullah; Granberg, Hjalmar; Berthold, Fredrik; Parasuraman, Rajasekar; Urnarji, Arun M.; Slettengren, Kerstin; Pettersson, Henrik; Crispin, Xavier",SYNTHETIC METALS,MAR 2017,2017.0,10.1016/j.synthmet.2017.01.007,5,OTE
Development of a Small Thermoelectric Generators Prototype for Energy Harvesting from Low Temperature Waste Heat at Industrial Plant,"Chiarotti, Ugo; Moroli, Valerio; Menchetti, Fernando; Piancaldini, Roberto; Bianco, Loris; Viotto, Alberto; Baracchini, Giulia; Gaspardo, Daniele; Nazzi, Fabio; Curti, Maurizio; Gabriele, Massimiliano",JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,MAR 2017,2017.0,10.1166/jnn.2017.13723,5,OTE
Energy Harvesting: Breakthrough Technologies Through Polymer Composites,"Ahmed, Saquib; Banerjee, Sankha; Sundar, Udhay; Ruiz, Hector; Kumar, Sanjeev; Weerasinghe, Ajith","SMART POLYMER NANOCOMPOSITES: ENERGY HARVESTING, SELF-HEALING AND SHAPE MEMORY APPLICATIONS",2017,2017.0,10.1007/978-3-319-50424-7_1,5,OTE
"Indolo[3,2-b]carbazole-based poly(arylene vinylene)s. The influence of substitution position on spectroscopic and electrochemical properties","Negru, Oana Iuliana; Solonaru, Ana Maria; Grigoras, Mircea",POLYMER INTERNATIONAL,DEC 2016,2016.0,10.1002/pi.5200,5,OTE
Understanding electrical-thermal transport characteristics of organic semiconductors: Violation of Wiedemann-Franz law,"Lu, Nianduan; Li, Ling; Gao, Nan; Liu, Ming",JOURNAL OF APPLIED PHYSICS,NOV 21 2016,2016.0,10.1063/1.4967997,5,OTE
