wl1,a,b,c,d,e,f,h,g,j
2033.086,-9.65E-04,0.2305,-0.008969,0.3455,0.283,0.001783,0.2356,0.001097,0.1276
2033.568,-4.28E-04,0.2311,-0.009062,0.3455,0.2832,0.001898,0.2358,0.002172,0.1287
2034.051,-7.53E-05,0.2316,-0.008819,0.3459,0.2834,0.002467,0.2365,0.003289,0.1299
2034.533,6.08E-05,0.2318,-0.00825,0.3467,0.2835,0.003304,0.2375,0.004257,0.1309
2035.015,1.02E-05,0.2318,-0.007534,0.3476,0.2835,0.004171,0.2384,0.004854,0.1316
2035.497,-1.24E-04,0.2318,-0.006927,0.3483,0.2834,0.004881,0.2393,0.004972,0.1318
2035.979,-2.21E-04,0.2318,-0.006653,0.3488,0.2831,0.005359,0.2399,0.004612,0.1315
2036.461,-1.82E-04,0.2319,-0.006759,0.3488,0.2828,0.005663,0.2403,0.00399,0.1309
2036.943,2.25E-05,0.2322,-0.007115,0.3486,0.2826,0.005891,0.2406,0.00339,0.1304
2037.425,3.39E-04,0.2326,-0.007456,0.3485,0.2827,0.006107,0.241,0.003083,0.1301
2037.907,6.49E-04,0.233,-0.007501,0.3486,0.2831,0.006297,0.2413,0.0032,0.1303
2038.39,8.10E-04,0.2332,-0.007071,0.3492,0.2836,0.006375,0.2415,0.003696,0.1309
2038.872,6.93E-04,0.2332,-0.006189,0.3502,0.2842,0.006244,0.2415,0.004353,0.1316
2039.354,2.71E-04,0.2329,-0.005099,0.3515,0.2845,0.005896,0.2412,0.004898,0.1322
2039.836,-4.36E-04,0.2322,-0.004115,0.3526,0.2846,0.005378,0.2408,0.005127,0.1325
2040.318,-0.001305,0.2314,-0.003547,0.3534,0.2844,0.004813,0.2404,0.004989,0.1324
2040.8,-0.002148,0.2307,-0.003551,0.3535,0.2843,0.004334,0.24,0.004618,0.1321
2041.282,-0.002768,0.2302,-0.004038,0.3532,0.2843,0.004011,0.2398,0.004262,0.1318
2041.764,-0.00302,0.23,-0.004757,0.3527,0.2847,0.003839,0.2398,0.004142,0.1318
2042.246,-0.002824,0.2303,-0.005384,0.3522,0.2854,0.003764,0.2398,0.004382,0.1321
2042.729,-0.002209,0.231,-0.005623,0.3521,0.2865,0.003725,0.2399,0.004948,0.1327
2043.211,-0.001318,0.2319,-0.005343,0.3526,0.2875,0.003703,0.24,0.005669,0.1335
2043.693,-3.27E-04,0.233,-0.004593,0.3535,0.2882,0.003731,0.2401,0.006344,0.1342
2044.175,6.02E-04,0.234,-0.003549,0.3547,0.2885,0.003877,0.2404,0.006814,0.1348
2044.657,0.001339,0.2349,-0.002488,0.3559,0.2885,0.004189,0.2408,0.007,0.135
2045.139,0.001862,0.2355,-0.001652,0.3569,0.2882,0.004619,0.2414,0.006962,0.1351
2045.621,0.002156,0.2359,-0.001228,0.3575,0.2878,0.005057,0.2419,0.00676,0.1349
2046.103,0.002259,0.236,-0.00123,0.3577,0.2877,0.005352,0.2423,0.006483,0.1347
2046.586,0.002208,0.2361,-0.001562,0.3575,0.2877,0.005402,0.2425,0.006185,0.1345
2047.068,0.002047,0.236,-0.002047,0.3572,0.288,0.005198,0.2424,0.005919,0.1343
2047.55,0.001874,0.2359,-0.002423,0.357,0.2885,0.004892,0.2422,0.005768,0.1342
2048.032,0.001814,0.2359,-0.002471,0.3571,0.2891,0.004726,0.2422,0.005828,0.1343
2048.514,0.001977,0.2362,-0.002088,0.3577,0.2899,0.004911,0.2425,0.006181,0.1347
2048.996,0.002406,0.2367,-0.001312,0.3586,0.2908,0.005541,0.2432,0.006847,0.1355
2049.478,0.003044,0.2374,-3.15E-04,0.3598,0.2919,0.006557,0.2443,0.007754,0.1364
2049.96,0.003713,0.2382,6.29E-04,0.3609,0.2931,0.007733,0.2456,0.008726,0.1375
2050.442,0.004159,0.2387,0.001223,0.3617,0.2941,0.008747,0.2468,0.009529,0.1383
2050.925,0.004159,0.2388,0.001275,0.3619,0.2946,0.009306,0.2475,0.009966,0.1388
2051.407,0.003619,0.2383,7.54E-04,0.3615,0.2947,0.009252,0.2475,0.009958,0.1389
2051.889,0.002603,0.2374,-2.16E-04,0.3607,0.2943,0.008575,0.247,0.009545,0.1386
2052.371,0.001411,0.2363,-0.001317,0.3598,0.2937,0.007521,0.246,0.008951,0.138
2052.853,3.91E-04,0.2354,-0.002222,0.359,0.2932,0.006406,0.245,0.008416,0.1376
2053.335,-1.87E-04,0.2349,-0.002701,0.3587,0.293,0.005519,0.2443,0.008116,0.1373
2053.817,-2.04E-04,0.235,-0.002666,0.3589,0.2932,0.005055,0.2439,0.008106,0.1374
2054.299,2.72E-04,0.2355,-0.002188,0.3596,0.2937,0.005089,0.2441,0.008317,0.1377
2054.782,9.92E-04,0.2363,-0.001484,0.3605,0.2945,0.00554,0.2446,0.008582,0.138
2055.264,0.001659,0.2371,-8.04E-04,0.3613,0.2953,0.006214,0.2454,0.008733,0.1382
2055.746,0.002042,0.2375,-3.37E-04,0.3619,0.2959,0.006893,0.2462,0.008664,0.1382
2056.228,0.00205,0.2376,-1.56E-04,0.3623,0.2962,0.007379,0.2468,0.008374,0.138
2056.71,0.001733,0.2374,-2.20E-04,0.3624,0.2963,0.007538,0.2471,0.007953,0.1376
2057.192,0.001266,0.237,-3.96E-04,0.3624,0.2961,0.007362,0.247,0.007545,0.1373
2057.674,8.25E-04,0.2367,-5.53E-04,0.3624,0.2958,0.006955,0.2468,0.007254,0.1371
2058.156,5.28E-04,0.2365,-6.25E-04,0.3625,0.2955,0.00646,0.2464,0.007133,0.137
2058.638,3.96E-04,0.2364,-6.25E-04,0.3627,0.2953,0.006042,0.2461,0.007143,0.1371
2059.121,4.03E-04,0.2365,-6.17E-04,0.3628,0.2955,0.005811,0.246,0.007227,0.1372
2059.603,5.04E-04,0.2367,-6.75E-04,0.363,0.2958,0.005795,0.2461,0.007332,0.1374
2060.085,6.91E-04,0.237,-8.55E-04,0.3629,0.2964,0.005956,0.2463,0.007454,0.1376
2060.567,9.83E-04,0.2374,-0.001161,0.3628,0.2972,0.006201,0.2467,0.007628,0.1378
2061.049,0.001421,0.2379,-0.001572,0.3626,0.2979,0.006449,0.2471,0.007911,0.1382
2061.531,0.001994,0.2386,-0.002031,0.3623,0.2985,0.006652,0.2474,0.008319,0.1386
2062.013,0.002637,0.2393,-0.002471,0.362,0.2987,0.006812,0.2477,0.008818,0.1392
2062.495,0.003222,0.24,-0.002822,0.3618,0.2986,0.006965,0.2479,0.009315,0.1398
2062.978,0.003601,0.2405,-0.003001,0.3618,0.2981,0.007144,0.2482,0.009691,0.1402
2063.46,0.00368,0.2406,-0.002951,0.362,0.2975,0.007355,0.2486,0.009867,0.1405
2063.942,0.003444,0.2405,-0.002626,0.3625,0.297,0.007569,0.2489,0.009829,0.1405
2064.424,0.002984,0.2401,-0.002025,0.3633,0.2966,0.007746,0.2492,0.009651,0.1404
2064.906,0.002458,0.2397,-0.001208,0.3643,0.2966,0.007855,0.2494,0.009463,0.1403
2065.388,0.002031,0.2393,-2.85E-04,0.3654,0.2968,0.007895,0.2496,0.009389,0.1402
2065.87,0.001812,0.2392,5.90E-04,0.3664,0.2971,0.007899,0.2497,0.009483,0.1404
2066.352,0.001819,0.2393,0.001267,0.3672,0.2974,0.007903,0.2498,0.009698,0.1407
2066.834,0.001997,0.2396,0.001617,0.3677,0.2976,0.007925,0.25,0.00991,0.141
2067.317,0.002249,0.2399,0.00157,0.3678,0.2977,0.00795,0.2501,0.009962,0.1411
2067.799,0.002479,0.2402,0.001151,0.3675,0.2976,0.007939,0.2502,0.009743,0.1409
2068.281,0.002633,0.2405,4.64E-04,0.367,0.2975,0.007855,0.2503,0.009239,0.1405
2068.763,0.002707,0.2407,-3.14E-04,0.3663,0.2976,0.007695,0.2502,0.008555,0.1399
2069.245,0.002737,0.2408,-9.90E-04,0.3658,0.2977,0.00751,0.2502,0.007873,0.1393
2069.727,0.002767,0.2409,-0.001407,0.3655,0.2978,0.007397,0.2502,0.007387,0.1388
2070.209,0.002829,0.2411,-0.001475,0.3656,0.298,0.007471,0.2504,0.007245,0.1388
2070.691,0.002926,0.2412,-0.00123,0.366,0.2981,0.007784,0.2508,0.007465,0.139
2071.173,0.00304,0.2414,-7.58E-04,0.3666,0.2981,0.00833,0.2514,0.00799,0.1396
2071.656,0.003136,0.2416,-2.05E-04,0.3672,0.2982,0.009006,0.2522,0.008679,0.1404
2072.138,0.003184,0.2418,2.86E-04,0.3679,0.2984,0.00964,0.253,0.009359,0.1411
2072.62,0.003178,0.2419,6.17E-04,0.3683,0.2987,0.01005,0.2535,0.009893,0.1417
2073.102,0.003137,0.2419,7.73E-04,0.3686,0.2991,0.01015,0.2537,0.01022,0.1421
2073.584,0.003104,0.242,7.84E-04,0.3688,0.2996,0.009885,0.2536,0.01035,0.1423
2074.066,0.003134,0.2421,7.23E-04,0.3689,0.3001,0.009349,0.2532,0.01034,0.1424
2074.548,0.003281,0.2423,6.57E-04,0.3689,0.3006,0.008679,0.2526,0.01027,0.1424
2075.03,0.003554,0.2427,6.28E-04,0.369,0.301,0.008046,0.2521,0.01022,0.1424
2075.513,0.003935,0.2432,6.34E-04,0.3692,0.3015,0.007591,0.2518,0.0102,0.1424
2075.995,0.004355,0.2437,6.46E-04,0.3693,0.3019,0.00739,0.2517,0.01022,0.1425
2076.477,0.004719,0.2441,6.28E-04,0.3694,0.3023,0.007446,0.2519,0.01023,0.1426
2076.959,0.004938,0.2444,5.61E-04,0.3695,0.3025,0.007693,0.2522,0.01019,0.1426
2077.441,0.004961,0.2446,4.54E-04,0.3695,0.3026,0.00802,0.2527,0.01007,0.1426
2077.923,0.004778,0.2445,3.38E-04,0.3696,0.3024,0.008315,0.2531,0.009849,0.1424
2078.405,0.004443,0.2442,2.53E-04,0.3696,0.3022,0.00849,0.2534,0.00958,0.1422
2078.887,0.004039,0.2439,2.24E-04,0.3697,0.3019,0.008508,0.2535,0.009325,0.142
2079.369,0.003646,0.2436,2.50E-04,0.3699,0.3017,0.008391,0.2535,0.009162,0.1419
2079.852,0.003319,0.2434,2.98E-04,0.3701,0.3017,0.008195,0.2535,0.009159,0.142
2080.334,0.003074,0.2432,3.15E-04,0.3702,0.3019,0.007994,0.2534,0.009338,0.1422
2080.816,0.002901,0.2431,2.53E-04,0.3703,0.3022,0.007848,0.2534,0.009673,0.1426
2081.298,0.002796,0.2431,9.54E-05,0.3703,0.3025,0.007794,0.2534,0.01011,0.1431
2081.78,0.002764,0.2432,-1.16E-04,0.3702,0.3027,0.007834,0.2536,0.01055,0.1437
2082.262,0.002835,0.2434,-2.95E-04,0.3702,0.3028,0.007952,0.2538,0.01095,0.1441
2082.744,0.003043,0.2437,-3.24E-04,0.3703,0.3029,0.008116,0.2541,0.01126,0.1445
2083.226,0.003383,0.2441,-1.26E-04,0.3706,0.3031,0.008282,0.2544,0.01148,0.1448
2083.709,0.003804,0.2446,3.02E-04,0.3712,0.3034,0.0084,0.2546,0.01161,0.145
2084.191,0.0042,0.2451,8.68E-04,0.3719,0.3039,0.008425,0.2548,0.01167,0.1451
2084.673,0.00446,0.2454,0.00141,0.3726,0.3042,0.008331,0.2548,0.01165,0.1452
2085.155,0.004489,0.2456,0.001769,0.3731,0.3045,0.008115,0.2547,0.01153,0.1451
2085.637,0.004278,0.2454,0.001871,0.3733,0.3044,0.007813,0.2545,0.01131,0.1449
2086.119,0.003878,0.2451,0.001723,0.3733,0.3042,0.007484,0.2543,0.01099,0.1447
2086.601,0.003422,0.2448,0.001447,0.3731,0.3038,0.0072,0.2541,0.01062,0.1444
2087.083,0.003038,0.2445,0.001179,0.373,0.3034,0.00701,0.2541,0.01025,0.1441
2087.565,0.002826,0.2444,0.00102,0.373,0.3031,0.006937,0.2541,0.009936,0.1438
2088.048,0.002813,0.2444,9.99E-04,0.3731,0.3031,0.006966,0.2543,0.009737,0.1437
2088.53,0.002956,0.2447,0.001062,0.3733,0.3033,0.007062,0.2545,0.00967,0.1437
2089.012,0.003158,0.245,0.00112,0.3735,0.3037,0.007179,0.2547,0.009708,0.1438
2089.494,0.003334,0.2452,0.001099,0.3736,0.3042,0.007289,0.255,0.00981,0.144
2089.976,0.003428,0.2454,9.73E-04,0.3736,0.3046,0.007373,0.2552,0.00991,0.1441
2090.458,0.00343,0.2455,7.73E-04,0.3736,0.3049,0.007412,0.2553,0.009944,0.1442
2090.94,0.003364,0.2455,5.61E-04,0.3735,0.3051,0.007388,0.2554,0.009869,0.1442
2091.422,0.003256,0.2455,3.92E-04,0.3735,0.3051,0.007276,0.2554,0.009668,0.1441
2091.905,0.003118,0.2455,2.93E-04,0.3735,0.3049,0.007058,0.2553,0.009363,0.1439
2092.387,0.002954,0.2454,2.53E-04,0.3736,0.3047,0.006743,0.2551,0.009014,0.1436
2092.869,0.002765,0.2453,2.39E-04,0.3737,0.3044,0.006366,0.2549,0.008696,0.1433
2093.351,0.002574,0.2452,2.17E-04,0.3738,0.3041,0.005985,0.2546,0.008472,0.1432
2093.833,0.00243,0.2452,1.75E-04,0.3739,0.3039,0.005665,0.2544,0.008388,0.1432
2094.315,0.002395,0.2452,1.26E-04,0.374,0.3039,0.005457,0.2543,0.008444,0.1433
2094.797,0.002517,0.2454,1.09E-04,0.3742,0.3039,0.00539,0.2544,0.008614,0.1435
2095.279,0.002808,0.2458,1.70E-04,0.3744,0.3041,0.005467,0.2546,0.008861,0.1438
2095.761,0.003225,0.2463,3.34E-04,0.3747,0.3043,0.005665,0.2549,0.00915,0.1442
2096.244,0.00369,0.2469,6.00E-04,0.3751,0.3046,0.005968,0.2553,0.009462,0.1446
2096.726,0.004101,0.2474,9.16E-04,0.3755,0.3048,0.006342,0.2558,0.009781,0.1449
2097.208,0.004368,0.2477,0.0012,0.3759,0.305,0.00676,0.2564,0.01008,0.1453
2097.69,0.004434,0.2479,0.001359,0.3762,0.3053,0.007192,0.2569,0.01031,0.1456
2098.172,0.004292,0.2479,0.001329,0.3763,0.3057,0.007603,0.2574,0.01044,0.1458
2098.654,0.003984,0.2476,0.001111,0.3763,0.3063,0.007968,0.2579,0.01041,0.1458
2099.136,0.003574,0.2473,7.69E-04,0.3761,0.3069,0.008272,0.2584,0.01023,0.1457
2099.618,0.003146,0.247,4.21E-04,0.3759,0.3076,0.008518,0.2587,0.009944,0.1455
2100.101,0.00278,0.2467,1.93E-04,0.3758,0.3082,0.008719,0.259,0.009628,0.1453
2100.583,0.002525,0.2465,1.47E-04,0.3759,0.3087,0.008894,0.2593,0.009371,0.1451
2101.065,0.002411,0.2465,2.82E-04,0.3761,0.309,0.009038,0.2596,0.00924,0.145
2101.547,0.002442,0.2467,5.28E-04,0.3765,0.309,0.009126,0.2598,0.009277,0.1451
2102.029,0.002582,0.2469,7.80E-04,0.3769,0.3088,0.009124,0.2599,0.009465,0.1454
2102.511,0.002794,0.2472,9.71E-04,0.3772,0.3085,0.009002,0.2599,0.009762,0.1457
2102.993,0.003047,0.2475,0.001098,0.3775,0.3082,0.008746,0.2598,0.0101,0.1461
2103.475,0.003317,0.2479,0.001221,0.3778,0.308,0.008385,0.2596,0.01042,0.1465
2103.957,0.003607,0.2483,0.001418,0.3781,0.3079,0.007959,0.2593,0.01064,0.1468
2104.44,0.003925,0.2487,0.001729,0.3786,0.3079,0.007529,0.2589,0.01073,0.147
2104.922,0.004283,0.2491,0.002124,0.3791,0.3081,0.007157,0.2587,0.01068,0.147
2105.404,0.004672,0.2496,0.002501,0.3796,0.3082,0.006892,0.2585,0.01052,0.1469
2105.886,0.005056,0.2501,0.002724,0.38,0.3085,0.006773,0.2586,0.01032,0.1468
2106.368,0.005373,0.2505,0.002712,0.3801,0.3088,0.006804,0.2587,0.01017,0.1467
2106.85,0.005561,0.2508,0.002472,0.38,0.3091,0.006963,0.259,0.01013,0.1467
2107.332,0.005544,0.2509,0.002087,0.3797,0.3095,0.007222,0.2594,0.01023,0.1469
2107.814,0.005315,0.2507,0.001707,0.3795,0.3098,0.007521,0.2598,0.01044,0.1471
2108.296,0.004877,0.2504,0.001471,0.3794,0.31,0.007801,0.2602,0.01071,0.1475
2108.779,0.00431,0.2499,0.001447,0.3795,0.3101,0.008006,0.2605,0.01096,0.1478
2109.261,0.003716,0.2494,0.001616,0.3798,0.3102,0.008104,0.2607,0.01114,0.148
2109.743,0.003203,0.249,0.001893,0.3802,0.3101,0.008089,0.2608,0.01122,0.1482
2110.225,0.002852,0.2487,0.002156,0.3807,0.3101,0.008001,0.2609,0.01121,0.1482
2110.707,0.002704,0.2487,0.002318,0.381,0.3101,0.007904,0.2609,0.01112,0.1482
2111.189,0.002759,0.2488,0.002357,0.3811,0.3101,0.007867,0.261,0.01101,0.1482
2111.671,0.003002,0.2492,0.002308,0.3812,0.3102,0.007943,0.2612,0.0109,0.1481
2112.153,0.003397,0.2497,0.002249,0.3813,0.3105,0.008142,0.2615,0.01084,0.1481
2112.636,0.003906,0.2503,0.002256,0.3815,0.3109,0.008427,0.2619,0.01083,0.1482
2113.118,0.004483,0.2509,0.002375,0.3817,0.3115,0.00872,0.2623,0.0109,0.1483
2113.6,0.005056,0.2516,0.002594,0.3821,0.3121,0.008928,0.2627,0.01103,0.1485
2114.082,0.005547,0.2522,0.002848,0.3825,0.3127,0.008991,0.2628,0.01121,0.1488
2114.564,0.005866,0.2526,0.003048,0.3828,0.313,0.008893,0.2629,0.0114,0.149
2115.046,0.005936,0.2527,0.003112,0.383,0.3131,0.008662,0.2628,0.01158,0.1493
2115.528,0.005727,0.2526,0.003001,0.383,0.313,0.008368,0.2626,0.0117,0.1495
2116.01,0.005288,0.2523,0.002747,0.3829,0.3129,0.008086,0.2624,0.01175,0.1496
2116.492,0.004711,0.2518,0.002432,0.3828,0.3127,0.007878,0.2623,0.01172,0.1496
2116.975,0.004146,0.2513,0.002173,0.3826,0.3127,0.007766,0.2623,0.0116,0.1496
2117.457,0.00373,0.251,0.002073,0.3827,0.3128,0.007749,0.2625,0.0114,0.1494
2117.939,0.003543,0.2509,0.002171,0.3829,0.3128,0.007793,0.2626,0.01115,0.1493
2118.421,0.003592,0.2511,0.00243,0.3833,0.3129,0.00785,0.2628,0.01088,0.1491
2118.903,0.003814,0.2514,0.002741,0.3838,0.3128,0.007868,0.2629,0.01063,0.1489
2119.385,0.004099,0.2518,0.002962,0.3841,0.3126,0.007798,0.263,0.01045,0.1488
2119.867,0.004345,0.2521,0.002981,0.3843,0.3123,0.00761,0.2629,0.01036,0.1487
2120.349,0.00449,0.2523,0.002766,0.3842,0.3121,0.007297,0.2627,0.01036,0.1488
2120.832,0.004502,0.2524,0.002333,0.3839,0.3119,0.006863,0.2624,0.01041,0.1489
2121.314,0.004381,0.2524,0.001775,0.3835,0.3119,0.006348,0.262,0.01042,0.149
2121.796,0.004146,0.2523,0.001201,0.3831,0.3121,0.00581,0.2616,0.01032,0.149
2122.278,0.003811,0.252,6.95E-04,0.3827,0.3124,0.005313,0.2612,0.01008,0.1488
2122.76,0.003402,0.2517,2.93E-04,0.3824,0.3127,0.004917,0.261,0.009712,0.1485
2123.242,0.00296,0.2514,2.11E-06,0.3823,0.3132,0.004675,0.2608,0.009279,0.1481
2123.724,0.002556,0.2511,-2.02E-04,0.3822,0.3137,0.004603,0.2609,0.008867,0.1478
2124.206,0.002271,0.2509,-3.30E-04,0.3822,0.3142,0.004711,0.2611,0.008555,0.1475
2124.688,0.002177,0.2509,-3.78E-04,0.3823,0.3147,0.004977,0.2615,0.008393,0.1474
2125.171,0.0023,0.2511,-3.25E-04,0.3825,0.3151,0.005361,0.262,0.008385,0.1475
2125.653,0.00261,0.2515,-1.30E-04,0.3829,0.3154,0.005808,0.2626,0.008503,0.1477
2126.135,0.003019,0.252,2.29E-04,0.3834,0.3155,0.006254,0.2632,0.008687,0.1479
2126.617,0.003416,0.2525,7.69E-04,0.384,0.3155,0.006631,0.2637,0.008878,0.1482
2127.099,0.003686,0.2528,0.001455,0.3849,0.3154,0.006873,0.264,0.009019,0.1484
2127.581,0.003748,0.253,0.0022,0.3858,0.3152,0.006936,0.2642,0.009072,0.1485
2128.063,0.003556,0.2529,0.002871,0.3866,0.3149,0.006788,0.2642,0.009015,0.1485
2128.545,0.003121,0.2526,0.003325,0.3872,0.3146,0.006447,0.264,0.008851,0.1484
2129.028,0.002468,0.252,0.003414,0.3874,0.3142,0.005937,0.2636,0.008586,0.1482
